"sample","file","treatment","time"
"sample_2","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A2_S57_L005_R2_001.fastq.gz","untreated","t1"
"sample_2","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A2_S2_L001_R1_001.fastq.gz","untreated","t1"
"sample_2","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A2_S2_L001_R2_001.fastq.gz","untreated","t1"
"sample_2","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A2_S2_L002_R1_001.fastq.gz","untreated","t1"
"sample_2","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A2_S2_L002_R2_001.fastq.gz","untreated","t1"
"sample_2","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A2_S57_L006_R2_001.fastq.gz","untreated","t1"
"sample_2","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A2_S57_L006_R1_001.fastq.gz","untreated","t1"
"sample_4","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A4_S9_L001_R2_001.fastq.gz","untreated","t2"
"sample_4","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A4_S9_L002_R1_001.fastq.gz","untreated","t2"
"sample_4","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A4_S9_L001_R1_001.fastq.gz","untreated","t2"
